journal,issn,nlm_id,categories,group
Current opinion in supportive and palliative care,1751-4266,101297402,Geriatrics; Palliative Care,aging
Journal of pain & palliative care pharmacotherapy,1536-0539,101125608,Geriatrics; Neurology,aging
Journal of Parkinson's disease,1877-718X,101567362,Geriatrics; Neurology,aging
Journal of social work in end-of-life & palliative care,1552-4264,101235219,Geriatrics; Palliative Care,aging
Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics,0300-9173,7507332,Geriatrics,aging
Tijdschrift voor gerontologie en geriatrie,1875-6832,8210346,Geriatrics,aging
Zeitschrift für Gerontologie und Geriatrie,1435-1269,9506215,Geriatrics,aging
"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",1754-4505,8103755,Geriatrics,general
ACS chemical neuroscience,1948-7193,101525337,Neurology,general
Acta neurobiologiae experimentalis,1689-0035,1246675,Neurology,general
Acta neurochirurgica,0942-0940,0151000,Neurology,general
Acta neurochirurgica. Supplement,0065-1419,100962752,Neurology,general
Acta neurologica Belgica,2240-2993,0247035,Neurology,general
Acta neurologica Taiwanica,3050-9173,9815355,Neurology,general
Acta neuropathologica,1432-0533,0412041,Neurology,general
Acta neuropathologica communications,2051-5960,101610673,Neurology,general
Acta neuropsychiatrica,1601-5215,9612501,Neurology,general
Advances and technical standards in neurosurgery,0095-4829,7501064,Neurology,general
Advances in neurobiology,2190-5215,101571545,Neurology,general
Aǧrı : Ağrı (Algoloji) Derneği'nin Yayın organıdır = The journal of the Turkish Society of Algology,2458-9446,9426197,Neurology,general
AJNR.  American journal of neuroradiology,1936-959X,8003708,Neurology,general
AJOB neuroscience,2150-7759,101518076,Neurology,general
"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",1552-485X,101235742,Neurology,general
Amyotrophic lateral sclerosis & frontotemporal degeneration,2167-9223,101587185,Neurology,general
Annals of clinical and translational neurology,2328-9503,101623278,Neurology,general
Annals of dyslexia,1934-7243,8406611,Neurology,general
Annals of neurology,1531-8249,7707449,Neurology,general
Annual review of neuroscience,1545-4126,7804039,Neurology,general
Annual review of vision science,2374-4650,101660822,Neurology,general
"Anästhesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS",1439-1074,9109478,Neurology,general
Applied neuropsychology. Adult,2327-9109,101584082,Neurology,general
Applied neuropsychology. Child,2162-2973,101584990,Neurology,general
Applied psychophysiology and biofeedback,1573-3270,9712383,Neurology,general
Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists,1873-5843,9004255,Neurology,general
ASN neuro,1759-0914,101507115,Neurology,general
"Attention, perception & psychophysics",1943-393X,101495384,Neurology,general
Audiology & neuro-otology,1421-9700,9606930,Neurology,general
Autonomic neuroscience : basic & clinical,1872-7484,100909359,Neurology,general
Behavioral and brain functions : BBF,1744-9081,101245751,Neurology,general
Behavioral neuroscience,1939-0084,8302411,Neurology,general
Behavioral sleep medicine,1540-2010,101149327,Neurology,general
Behavioural brain research,1872-7549,8004872,Neurology,general
Behavioural neurology,1875-8584,8914585,Neurology,general
Biological cybernetics,1432-0770,7502533,Neurology,general
Biological psychiatry,1873-2402,0213264,Neurology,general
Biological psychiatry. Cognitive neuroscience and neuroimaging,2451-9030,101671285,Neurology,general
Biological psychology,1873-6246,0375566,Neurology,general
BMC neurology,1471-2377,100968555,Neurology,general
BMC neuroscience,1471-2202,100966986,Neurology,general
Brain & development,1872-7131,7909235,Neurology,general
Brain : a journal of neurology,1460-2156,0372537,Neurology,general
Brain and behavior,2162-3279,101570837,Neurology,general
Brain and cognition,1090-2147,8218014,Neurology,general
Brain and language,1090-2155,7506220,Neurology,general
Brain connectivity,2158-0022,101550313,Neurology,general
Brain imaging and behavior,1931-7565,101300405,Neurology,general
Brain impairment : a multidisciplinary journal of the Australian Society for the Study of Brain Impairment,1839-5252,101121542,Neurology,general
Brain injury,1362-301X,8710358,Neurology,general
Brain pathology,1750-3639,9216781,Neurology,general
Brain research,1872-6240,0045503,Neurology,general
Brain research bulletin,1873-2747,7605818,Neurology,general
Brain stimulation,1876-4754,101465726,Neurology,general
Brain structure & function,1863-2661,101282001,Neurology,general
Brain topography,1573-6792,8903034,Neurology,general
Brain tumor pathology,1861-387X,9716507,Neurology,general
"Brain, behavior and evolution",1421-9743,0151620,Neurology,general
"Brain, behavior, and immunity",1090-2139,8800478,Neurology,general
British journal of neurosurgery,1360-046X,8800054,Neurology,general
Cellular and molecular neurobiology,1573-6830,8200709,Neurology,general
Central nervous system agents in medicinal chemistry,1875-6166,101269163,Neurology,general
Cephalalgia : an international journal of headache,1468-2982,8200710,Neurology,general
Cerebral cortex,1460-2199,9110718,Neurology,general
Child neuropsychology : a journal on normal and abnormal development in childhood and adolescence,1744-4136,9512515,Neurology,general
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,1433-0350,8503227,Neurology,general
Clinical autonomic research : official journal of the Clinical Autonomic Research Society,1619-1560,9106549,Neurology,general
Clinical EEG and neuroscience,2169-5202,101213033,Neurology,general
Clinical neurology and neurosurgery,1872-6968,7502039,Neurology,general
Clinical neuropathology,0722-5091,8214420,Neurology,general
Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,1872-8952,100883319,Neurology,general
Clinical neuroradiology,1869-1447,101526693,Neurology,general
CNS & neurological disorders drug targets,1996-3181,101269155,Neurology,general
CNS drugs,1179-1934,9431220,Neurology,general
CNS neuroscience & therapeutics,1755-5949,101473265,Neurology,general
CNS spectrums,2165-6509,9702877,Neurology,general
Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology,1543-3641,101167278,Neurology,general
Cognitive neuropsychiatry,1464-0619,9713497,Neurology,general
Cognitive neuropsychology,1464-0627,8411889,Neurology,general
Cognitive neuroscience,1758-8936,101518151,Neurology,general
"Cognitive, affective & behavioral neuroscience",1531-135X,101083946,Neurology,general
Consciousness and cognition,1090-2376,9303140,Neurology,general
Continuum : lifelong learning in neurology,1538-6899,9509333,Neurology,general
Cortex; a journal devoted to the study of the nervous system and behavior,1973-8102,0100725,Neurology,general
Current neurology and neuroscience reports,1534-6293,100931790,Neurology,general
Current neuropharmacology,1875-6190,101157239,Neurology,general
Current neurovascular research,1875-5739,101208439,Neurology,general
Current opinion in neurobiology,1873-6882,9111376,Neurology,general
Current opinion in neurology,1473-6551,9319162,Neurology,general
Current pain and headache reports,1534-3081,100970666,Neurology,general
Current topics in behavioral neurosciences,1866-3389,101535383,Neurology,general
Der Nervenarzt,1433-0407,0400773,Neurology,general
Der Schmerz,1432-2129,8906258,Neurology,general
Developmental cognitive neuroscience,1878-9307,101541838,Neurology,general
Developmental medicine and child neurology,1469-8749,0006761,Neurology,general
Developmental neurobiology,1932-846X,101300215,Neurology,general
Developmental neuropsychology,1532-6942,8702038,Neurology,general
Developmental neurorehabilitation,1751-8431,101304394,Neurology; Physical and Rehabilitation Medicine,general
Developmental neuroscience,1421-9859,7809375,Neurology,general
Developmental psychobiology,1098-2302,0164074,Neurology,general
Dialogues in clinical neuroscience,1958-5969,101238198,Neurology,general
Dyslexia : the journal of the British Dyslexia Association,1099-0909,9511375,Neurology,general
eNeuro,2373-2822,101647362,Neurology,general
Epilepsia,1528-1167,2983306R,Neurology,general
Epilepsia open,2470-9239,101692036,Neurology,general
Epilepsy & behavior : E&B,1525-5069,100892858,Neurology,general
Epilepsy research,1872-6844,8703089,Neurology,general
Epileptic disorders : international epilepsy journal with videotape,1950-6945,100891853,Neurology,general
European archives of psychiatry and clinical neuroscience,1433-8491,9103030,Neurology,general
European journal of neurology,1468-1331,9506311,Neurology,general
European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,1532-2130,9715169,Neurology,general
European journal of pain : EJP,1532-2149,9801774,Neurology,general
European neurology,1421-9913,0150760,Neurology,general
European stroke journal,2396-9881,101688446,Neurology,general
Experimental brain research,1432-1106,0043312,Neurology,general
Experimental neurology,1090-2430,0370712,Neurology,general
Expert review of neurotherapeutics,1744-8360,101129944,Neurology,general
Fluids and barriers of the CNS,2045-8118,101553157,Neurology,general
Folia neuropathologica,1509-572X,9437431,Neurology,general
Fortschritte der Neurologie-Psychiatrie,1439-3522,8103137,Neurology,general
Frontiers in neural circuits,1662-5110,101477940,Neurology,general
Frontiers in neuroendocrinology,1095-6808,7513292,Neurology,general
"Genes, brain, and behavior",1601-183X,101129617,Neurology,general
Glia,1098-1136,8806785,Neurology,general
Handbook of clinical neurology,0072-9752,0166161,Neurology,general
Headache,1526-4610,2985091R,Neurology,general
Hippocampus,1098-1063,9108167,Neurology,general
Human brain mapping,1097-0193,9419065,Neurology,general
Ideggyógyászati szemle,2498-6208,17510500R,Neurology,general
International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience,1873-474X,8401784,Neurology,general
International journal of psychophysiology : official journal of the International Organization of Psychophysiology,1872-7697,8406214,Neurology,general
International review of neurobiology,2162-5514,0374740,Neurology,general
"Interventional neuroradiology : journal of peritherapeutic neuroradiology, surgical procedures and related neurosciences",2385-2011,9602695,Neurology,general
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,1559-7016,8112566,Neurology,general
Journal of chemical neuroanatomy,1873-6300,8902615,Neurology,general
Journal of child neurology,1708-8283,8606714,Neurology,general
Journal of clinical and experimental neuropsychology,1744-411X,8502170,Neurology,general
Journal of clinical neuromuscular disease,1537-1611,100887391,Neurology,general
Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,1537-1603,8506708,Neurology,general
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,1532-2653,9433352,Neurology,general
Journal of cognitive neuroscience,1530-8898,8910747,Neurology,general
"Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology",1432-1351,101141792,Neurology,general
Journal of computational neuroscience,1573-6873,9439510,Neurology,general
Journal of Huntington's disease,1879-6400,101589965,Neurology,general
Journal of integrative neuroscience,0219-6352,101156357,Neurology,general
Journal of molecular neuroscience : MN,1559-1166,9002991,Neurology,general
Journal of musculoskeletal & neuronal interactions,1108-7161,101084496,Neurology,general
Journal of neural engineering,1741-2552,101217933,Neurology,general
Journal of neural transmission,1435-1463,9702341,Neurology,general
Journal of neuro-oncology,1573-7373,8309335,Neurology,general
Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,1536-5166,9431308,Neurology,general
Journal of neurochemistry,1471-4159,2985190R,Neurology,general
Journal of neurodevelopmental disorders,1866-1955,101483832,Neurology,general
Journal of neuroendocrinology,1365-2826,8913461,Neurology,general
Journal of neuroengineering and rehabilitation,1743-0003,101232233,Neurology; Physical and Rehabilitation Medicine,general
Journal of neurogenetics,1563-5260,8406473,Neurology,general
Journal of neuroimaging : official journal of the American Society of Neuroimaging,1552-6569,9102705,Neurology,general
Journal of neuroimmune pharmacology : the official journal of the Society on NeuroImmune Pharmacology,1557-1904,101256586,Neurology,general
Journal of neuroimmunology,1872-8421,8109498,Neurology,general
Journal of neuroinflammation,1742-2094,101222974,Neurology,general
Journal of neurointerventional surgery,1759-8486,101517079,Neurology,general
Journal of neurologic physical therapy : JNPT,1557-0584,101193365,Neurology; Physical and Rehabilitation Medicine,general
"Journal of neurological surgery. Part A, Central European neurosurgery",2193-6323,101580767,Neurology,general
Journal of neurology,1432-1459,0423161,Neurology,general
"Journal of neurology, neurosurgery, and psychiatry",1468-330X,2985191R,Neurology,general
Journal of neuromuscular diseases,2214-3602,101649948,Neurology,general
Journal of neuropathology and experimental neurology,1554-6578,2985192R,Neurology,general
Journal of neurophysiology,1522-1598,0375404,Neurology,general
Journal of neuropsychology,1748-6653,101468753,Neurology,general
Journal of neuroradiology = Journal de neuroradiologie,0150-9861,7705086,Neurology,general
Journal of neuroscience methods,1872-678X,7905558,Neurology,general
Journal of neuroscience research,1097-4547,7600111,Neurology,general
Journal of neurosurgery,1933-0693,0253357,Neurology,general
Journal of neurosurgery. Pediatrics,1933-0715,101463759,Neurology,general
Journal of neurosurgery. Spine,1547-5646,101223545,Neurology,general
Journal of neurosurgical anesthesiology,1537-1921,8910749,Neurology,general
Journal of neurosurgical sciences,1827-1855,0432557,Neurology,general
Journal of neurotrauma,1557-9042,8811626,Neurology,general
Journal of neurovirology,1538-2443,9508123,Neurology,general
Journal of opioid management,1551-7489,101234523,Neurology,general
Journal of oral & facial pain and headache,2333-0376,101624698,Neurology,general
Journal of psychiatry & neuroscience : JPN,1488-2434,9107859,Neurology,general
Journal of reconstructive microsurgery,1098-8947,8502670,Neurology,general
Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,1532-8511,9111633,Neurology,general
Journal of the history of the neurosciences,1744-5213,9441330,Neurology,general
Journal of the International Neuropsychological Society : JINS,1469-7661,9503760,Neurology,general
Journal of the neurological sciences,1878-5883,0375403,Neurology,general
